titulo,tema,data,numero_do_video,links_relacionados,id_inutil,id_video,status_materia,status_video,thumb,
O que cada país promete para a crise do clima? O que são NDCs?,Entenda o clima,02/08/2025,1,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/02/a-100-dias-da-cop30-metas-climaticas-atrasadas-aumentam-a-pressao-por-resultados-em-belem.ghtml,13808416,13820467,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820467.jpg,
O que é a COP e por que ela importa?,Entenda o clima,03/08/2025,2,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/03/o-que-e-a-cop-e-por-que-ela-importa.ghtml,13808425,13820477,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820477.jpg,
O que é o efeito estufa e o que ele tem a ver com a COP?,Entenda o clima,04/08/2025,3,https://g1.globo.com/meio-ambiente/noticia/2025/08/04/o-que-e-o-efeito-estufa-e-o-que-ela-tem-a-ver-com-a-cop.ghtml,13808433,13820496,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820496.jpg,
O que é o Acordo de Paris?,Entenda o clima,05/08/2025,4,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/05/o-que-e-o-acordo-de-paris-entenda-cop30.ghtml,13814623,13820499,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820499.jpg,
O que o café mais caro tem a ver com o clima?,"Clima, comida e consumo",06/08/2025,5,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/06/o-que-o-cafe-mais-caro-tem-a-ver-com-o-clima.ghtml,13814558,13820533,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820533.jpg,
O que são os 'pontos de não retorno' e por que eles colocam o planeta em risco?,A ciência do aquecimento global,07/08/2025,6,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/07/o-que-sao-os-pontos-de-nao-retorno-e-por-que-eles-colocam-o-planeta-em-risco.ghtml,13814563,13820507,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820507.jpg,
"Por que limitar o aquecimento a 1,5°C é a meta perseguida?",Entenda o clima,08/08/2025,7,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/08/por-que-limitar-o-aquecimento-a-15c-e-a-meta-perseguida.ghtml,13814574,13820534,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820534.jpg,
Como a roupa que você usa causa impacto no meio ambiente?,"Clima, comida e consumo",09/08/2025,8,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/09/como-a-roupa-que-voce-usa-causa-impacto-no-meio-ambiente.ghtml,13814587,13820540,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13820540.jpg,
O desmatamento é o maior vilão climático do Brasil?,Biomas e o equilíbrio do planeta,10/08/2025,9,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/10/o-desmatamento-e-o-maior-vilao-climatico-do-brasil.ghtml,13827395,13827827,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13827827.jpg,
Quais doenças podem crescer com o aquecimento global?,O planeta em transformação,11/08/2025,10,https://g1.globo.com/meio-ambiente/cop-30/noticia/2025/08/11/quais-doencas-podem-crescer-com-o-aquecimento-global.ghtml,13827399,13827828,Publicada,Publicado,https://s3.glbimg.com/v1/AUTH_e03f7a1106bb438e970511f892f07c35/g1/videos-cop30-e-o-nosso-futuro/img/thumbs/13827828.jpg,
